,r,seed
0,0.11548939357147567,Isthmuscingulate
1,-0.42720141965887015,Postcentral
2,-0.31938541002613696,Posteriorcingulate
3,-0.5072288382117617,Rostralanteriorcingulate
4,-0.5756269811542941,Caudalanteriorcingulate
5,-0.43950686029336494,Rostralmiddlefrontal
6,-0.5631356724774187,Precentral
7,0.27146646323777845,Superiortemporal
8,0.2847479237085051,Pericalcarine
9,,Thalamus_Proper
10,-0.10772022565638735,Lateralorbitofrontal
11,-0.46719872587659256,Frontalpole
12,0.7387487019329921,Inferiortemporal
13,0.6571667116773396,Fusiform
14,-0.3710712174753437,Parstriangularis
15,,Hippocampus
16,,Amygdala
17,-0.10265001741241098,Insula
18,,Pallidum
19,-0.3266529162433487,Parsorbitalis
20,0.6092397722573566,Bankssts
21,0.48007032748175,Lateraloccipital
22,,Cerebellum_Cortex
23,-0.41620621874092534,Medialorbitofrontal
24,-0.07734471571924978,Transversetemporal
25,,Caudate
26,-0.3739670062547156,Parsopercularis
27,0.3130856301281433,Cuneus
28,,Putamen
29,-0.5231427396831182,Caudalmiddlefrontal
30,0.13390844327780455,Supramarginal
31,-0.42849446678019193,Paracentral
32,0.16575321198237306,Superiorparietal
33,0.6899155006976578,Middletemporal
34,0.4621113467827154,Parahippocampal
35,0.4896714477834535,Entorhinal
36,0.36156171792749164,Lingual
37,0.15104036123106984,Precuneus
38,0.5019933028234256,Inferiorparietal
39,-0.5960582722167361,Superiorfrontal
40,0.27569072849353055,Temporalpole
41,,Accumbens_area
